problem,run,generation_window,block,operator,selection_count,selection_probability
T500,1,2200-2250,offload,RESAMPLE,0,0.0
T500,1,2200-2250,seq,GA,105,0.2625
T500,1,2200-2250,seq,SWAP,170,0.425
T500,1,2200-2250,seq,VNS,125,0.3125
T500,1,2200-2250,seq,RESAMPLE,0,0.0
T500,1,2200-2250,dev,DE,149,0.3725
T500,1,2200-2250,dev,GDE,235,0.5875
T500,1,2200-2250,dev,LEVY,16,0.04
T500,1,2200-2250,dev,RESAMPLE,0,0.0
T500,1,2250-2300,offload,GA,94,0.235
T500,1,2250-2300,offload,DE,284,0.71
T500,1,2250-2300,offload,BITFLIP,22,0.055
T500,1,2250-2300,offload,RESAMPLE,0,0.0
T500,1,2250-2300,seq,GA,53,0.1325
T500,1,2250-2300,seq,SWAP,205,0.5125
T500,1,2250-2300,seq,VNS,142,0.355
T500,1,2250-2300,seq,RESAMPLE,0,0.0
T500,1,2250-2300,dev,DE,101,0.2525
T500,1,2250-2300,dev,GDE,271,0.6775
T500,1,2250-2300,dev,LEVY,28,0.07
T500,1,2250-2300,dev,RESAMPLE,0,0.0
T500,1,2300-2350,offload,GA,102,0.255
T500,1,2300-2350,offload,DE,280,0.7
T500,1,2300-2350,offload,BITFLIP,18,0.045
T500,1,2300-2350,offload,RESAMPLE,0,0.0
T500,1,2300-2350,seq,GA,47,0.1175
T500,1,2300-2350,seq,SWAP,246,0.615
T500,1,2300-2350,seq,VNS,107,0.2675
T500,1,2300-2350,seq,RESAMPLE,0,0.0
