gen,CCHIHH_Full mean,CCHIHH_Full var,CGA mean,CGA var,IMOMA mean,IMOMA var,DSAC_DE mean,DSAC_DE var
8500,0.3425102,8.799047599999844e-07,0.3546661,2.1476070900000056e-06,0.3779372,2.3902957599999857e-06,0.325579,1.2036910000000017e-06
8550,0.3425102,8.799047599999844e-07,0.3546007,2.151617009999992e-06,0.37786569999999997,2.289363209999992e-06,0.3255243,1.1705668099999995e-06
8600,0.34248979999999996,9.071591599999897e-07,0.3544966,2.0935056399999895e-06,0.37779419999999997,2.4396895600000126e-06,0.3254874,1.1296676399999946e-06
8650,0.34246940000000003,8.494108399999946e-07,0.3544437,1.9739380099999944e-06,0.3777922,2.436606360000009e-06,0.3254096,1.0658732399999891e-06
8700,0.34246940000000003,8.494108399999946e-07,0.3543946,1.8513162400000023e-06,0.377737,2.233315800000011e-06,0.3253822,1.0057521599999903e-06
8750,0.34246940000000003,8.494108399999946e-07,0.3543844,1.8575102399999874e-06,0.377737,2.233315800000011e-06,0.3253717,1.0159466099999926e-06
8800,0.34246940000000003,8.494108399999946e-07,0.3543333,1.8023572099999999e-06,0.3776818,2.1625039600000114e-06,0.32534640000000004,9.702680399999942e-07
8850,0.34246940000000003,8.494108399999946e-07,0.3542659,1.6841172899999932e-06,0.3776818,2.1625039600000114e-06,0.3253338,9.794433599999952e-07
8900,0.34246940000000003,8.494108399999946e-07,0.35422919999999997,1.6829535599999834e-06,0.3776062,1.964734360000015e-06,0.3253106,9.480862399999936e-07
8950,0.34246940000000003,8.494108399999946e-07,0.354178,1.6092239999999924e-06,0.3776042,1.965963160000013e-06,0.3252758,9.129433599999883e-07
9000,0.342449,7.991533999999853e-07,0.3540984,1.7400062399999816e-06,0.3776042,1.965963160000013e-06,0.3252264,9.105980399999852e-07
9050,0.3424265,8.084796499999867e-07,0.3540903,1.7401802099999685e-06,0.3776042,1.965963160000013e-06,0.3252148,9.207967599999861e-07
9100,0.3424265,8.084796499999867e-07,0.353976,1.6650205999999931e-06,0.3776042,1.965963160000013e-06,0.3251695,9.267972499999949e-07
9150,0.3424265,8.084796499999867e-07,0.3539107,1.7254542099999894e-06,0.3776042,1.965963160000013e-06,0.3251695,9.267972499999949e-07
9200,0.3424265,8.084796499999867e-07,0.3539045,1.7197412499999864e-06,0.3775716,1.9425150400000114e-06,0.32514319999999997,9.743543599999964e-07
9250,0.3424245,8.097496499999846e-07,0.3538576,1.7985290399999916e-06,0.3775716,1.9425150400000114e-06,0.3251073,9.317414099999926e-07
9300,0.3424245,8.097496499999846e-07,0.3538167,1.7630460099999857e-06,0.3775716,1.9425150400000114e-06,0.325083,9.813889999999902e-07
9350,0.3424245,8.097496499999846e-07,0.35374720000000004,1.633966560000007e-06,0.3775716,1.9425150400000114e-06,0.3250693,9.8455780999999e-07
